Safeguard_Text,Extracted_Tag_Clean,Technique,Node_ID,Confidence,Semantic_Score,S,Cause_Text,Consequence_Text
Pump is in remote location and inside tank berm and separate containment,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 41,Medium,0.416,4.0,"MOV-77397/ 09 closed on outlet of tank TK- 100-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | MOV-72031 /9326 closed on outlet of tank TK-61869-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-55290 fails open on pump P-1A/B bypass | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B","Decreased flow of diesel from Diesel Tanks TK-61869- 12/21 to Transfer Pump P-1A/B, loss of flow to P-1A/B, potential cavitation and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact | Decreased flow of diesel from Diesel Tanks TK-61869-12/21 to Transfer Pump P-1A/B, loss of flow to P-1A/B, potential cavitation and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact | Increased flow of diesel recycling around Transfer Pump P-1A/B, decreased flow to terminal, delay in transfer, logistical impact to terminals; Potential to increase temperature on pumps P- 1A/B with potential pump damage, potential seal failure, release, ignition and personnel impact | Blocked flow out of Transfer Pump P-1A/B, potential deadhead and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact"
Seal Failure Alarm SF- 11410/11430 will shutdown pumps PM- 104A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 4,High,N/A,4.0,"6"" manual valve on inlet to AF-73992 Bottoms Product Cooler inadvertently closed | 6"" manual valve on outlet from AF-73992 Bottoms Product Cooler inadvertently closed | LCV-14439 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | Manual valve on discharge from Combi Tower Bottoms Product Pump PM-59524A/B inadvertently closed | LCV-14439 fails open or bypass inadvertently open | TCV-30806A malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | 6"" manual valve from EX-17647 inadvertently closed | Manual valve on suction to Combi Tower Bottoms Product Pump PM-59524A/B inadvertently closed",Loss of suction to PM-59524A/B; Potential to cavitate pump resulting in pump damage; Potential seal failure with potential loss of containment; Potential ignition and personnel impact | High flow results in low level in Combi Tower T-56446; Potential loss of suction to Bottoms Pumps PM-59524A/B; Potential to cavitate pump resulting in pump damage; Potential seal failure with potential loss of containment; Potential ignition and personnel impact | Blocked discharge from pumps PM-59524A/B; Potential to deadhead pumps; Potential seal failure with potential loss of containment; Potential ignition and personnel impact
Seal Failure Alarm SF- 11410/11430 will shutdown pumps PM- 104A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 42,High,N/A,4.0,Manual valve closed on AGO rundown header from one or both splitter towers,"Combi Tower Bottoms Product Pumps PM-59524A/B or PM- 204A/B deadheaded, potential seal failure, release of hydrocarbons and ignition, potential personnel impact"
Seal Failure Alarm SF- 11410/11430 will shutdown pumps PM- 104A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 44,High,N/A,4.0,"8"" Manual valve closed on Rerun header from one or both splitter towers","Combi Tower Bottoms Product Pumps PM-59524A/B or PM- 204A/B deadheaded, potential seal failure, release of hydrocarbons and ignition, potential personnel impact"
Seal Failure Alarm SF- 21410/21430 will shutdown pumps PM- 204A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 22,High,N/A,4.0,"6"" manual valve from EX-11689 inadvertently closed | TCV-47043A malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | LCV-60053 fails open or bypass inadvertently open | Manual valve on discharge from Combi Tower Bottoms Product Pump PM-80996A/B inadvertently closed | 6"" manual valve on inlet to AF-99986 Bottoms Product Cooler inadvertently closed | 6"" manual valve on outlet from AF-99986 Bottoms Product Cooler inadvertently closed | LCV-60053 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | Manual valve on suction to Combi Tower Bottoms Product Pump PM-80996A/B inadvertently closed",High flow results in low level in Combi Tower T-92182; Potential loss of suction to Bottoms Pumps PM-80996A/B; Potential to cavitate pump resulting in pump damage; Potential seal failure with potential loss of containment; Potential ignition and personnel impact | Blocked discharge from pumps PM-80996A/B; Potential to deadhead pumps; Potential seal failure with potential loss of containment; Potential ignition and personnel impact | Loss of suction to PM-80996A/B; Potential to cavitate pump resulting in pump damage; Potential seal failure with potential loss of containment; Potential ignition and personnel impact
Seal Failure Alarm SF- 21410/21430 will shutdown pumps PM- 204A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 42,High,N/A,4.0,Manual valve closed on AGO rundown header from one or both splitter towers,"Combi Tower Bottoms Product Pumps PM-59524A/B or PM- 204A/B deadheaded, potential seal failure, release of hydrocarbons and ignition, potential personnel impact"
Seal Failure Alarm SF- 21410/21430 will shutdown pumps PM- 204A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 44,High,N/A,4.0,"8"" Manual valve closed on Rerun header from one or both splitter towers","Combi Tower Bottoms Product Pumps PM-59524A/B or PM- 204A/B deadheaded, potential seal failure, release of hydrocarbons and ignition, potential personnel impact"
Seal failure alarm SF-36044/11385 will shutdown pumps,SF-36044,Tier 1: Explicit Interlock/AF Tag,Node 5,High,N/A,4.0,"10"" manual valve on outlet from Combi Tower Overhead Pumps PM-73992A/B inadvertently closed | 12"" manual valve on inlet to Combi Tower Overhead Pumps PM-73992A/B inadvertently closed | Level control valve LCV-62100 light naphtha to storage fails open or bypass opened","Blocked discharge from Combi Tower Overhead Pumps PM-73992A/B; Potential to deadhead pumps resulting in potential seal failure, loss of containment, potential ignition and personnel impact | Loss of suction to Combi Tower Overhead Pumps PM- 103A/B; Potential to cavitate pumps resulting in potential seal failure, loss of containment, potential ignition and personnel impact | Potential loss of level in Accumulator PV-56446; Loss of suction to Combi Tower Overhead Pumps PM-73992A/B; Potential to cavitate pumps resulting in potential seal failure, loss of containment, potential ignition and personnel impact"
Seal failure alarm SF-65349/21385 will shutdown pumps PM- 203A/B,SF-65349,Tier 1: Explicit Interlock/AF Tag,Node 23,High,N/A,4.0,"12"" manual valve on inlet to Combi Tower Overhead Pumps PM-99986A/B inadvertently closed | Level control valve LCV-34380 light naphtha to storage fails open or bypass opened | 10"" manual valve on outlet from Combi Tower Overhead Pumps PM-99986A/B inadvertently closed","Loss of suction to Combi Tower Overhead Pumps PM- 203A/B; Potential to cavitate pumps resulting in potential seal failure, loss of containment, potential ignition and personnel impact | Blocked discharge from Combi Tower Overhead Pumps PM-99986A/B; Potential to deadhead pumps resulting in potential seal failure, loss of containment, potential ignition and personnel impact | Potential loss of level in Accumulator PV-92182; Loss of suction to Combi Tower Overhead Pumps PM-99986A/B; Potential to cavitate pumps resulting in potential seal failure, loss of containment, potential ignition and personnel impact"
Seal failure alarm SFA- 18026/18066/18046 will shutdown pumps PM-77434A/B/C,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 34,High,N/A,4.0,Valve(s) downstream of booster pumps closed (or plugged). | PCV-55414/40591 on overhead from D- 101/201 Desalter malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | Valve(s) upstream of booster pumps (PM- 121A/B/C) inadvertently closed. | PDCV-33775 malfunctions closed,"Loss of suction to pump PM-77434A/B/C; Potential pump cavitation with seal failure, potential loss of containment of condensate, potential ignition and personnel impact | Blocked discharge from pump PM-77434A/B/C; Potential pump deadhead with seal failure, potential loss of containment of condensate, potential ignition and personnel impact"
Seal failure alarm SFA- 55734/48452/87711/2 1520 will shutdown pumps PM-76255A/B and PM-48495A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 25,High,N/A,4.0,"FCV-80717 fails open or bypass valve inadvertently open | Manual valve closed inadvertently in Kero Stripper Product Pump PM-48495A/B suction or basket strainers on suction lines plugged | 8"" manual valve on EX-99986 shell side outlet inadvertently closed | FCV-80717 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed or 8"" manual valve on kero product to rerun inadvertently closed | Manual valve closed inadvertently in Kero Stripper Product Pump PM-48495A/B discharge | Both Kero Product Pumps PM-48495A/B running at once","Loss of level in Kero Stripper T-80996, potential to vapor lock the stripper, potential to cavitate Kero Stripper Product Pump PM- 206A/B; Potential seal failure with loss of containment, ignition, and personnel impact | Blocked discharge from Kero Stripper Product Pump PM- 206A/B; Potential pump deadhead, potential seal failure, release of hydrocarbons and ignition, potential personnel impact | Kero Stripper Product Pump PM-48495A/B cavitation, potential seal failure, release of hydrocarbons and ignition, potential personnel impact | Kero Stripper Product Pump PM-48495A/B deadhead, potential seal failure, release of hydrocarbons and ignition, potential personnel impact | Potential loss of level in Kero Stripper T-80996, potential to vapor lock the stripper, potential to cavitate Kero Stripper Product Pump PM-48495A/B; Potential seal failure with loss of containment, ignition, and personnel impact"
Seal failure alarm SFA- 55734/48452/87711/2 1520 will shutdown pumps PM-76255A/B and PM-48495A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 40,High,N/A,4.0,Plugged Kero Filters,"Kero Stripper Product Pump PM-76255A/B or PM-48495A/B deadhead, potential seal failure, release of hydrocarbons and ignition, potential personnel impact"
Seal failure alarm SFA- 55734/48452/87711/2 1520 will shutdown pumps PM-76255A/B and PM-48495A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 7,High,N/A,4.0,"Manual valve closed inadvertently in Kero Stripper Product Pump PM-76255A/B discharge | FCV-19313 fails open or bypass valve inadvertently open | Both Kero Product Pumps PM-76255A/B running at once | FCV-19313 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed or 8"" manual valve on kero product to rerun inadvertently closed | Manual valve closed inadvertently in Kero Stripper Product Pump PM-76255A/B suction or basket strainers on suction lines plugged | 8"" manual valve on EX-73992 shell side outlet inadvertently closed","Potential loss of level in Kero Stripper T-59524, potential to vapor lock the stripper, potential to cavitate Kero Stripper Product Pump PM-76255A/B; Potential seal failure with loss of containment, ignition, and personnel impact | Loss of level in Kero Stripper T-59524, potential to vapor lock the stripper, potential to cavitate Kero Stripper Product Pump PM- 106A/B; Potential seal failure with loss of containment, ignition, and personnel impact | Blocked discharge from Kero Stripper Product Pump PM- 106A/B; Potential pump deadhead, potential seal failure, release of hydrocarbons and ignition, potential personnel impact | Kero Stripper Product Pump PM-76255A/B cavitation, potential seal failure, release of hydrocarbons and ignition, potential personnel impact | Kero Stripper Product Pump PM-76255A/B deadhead, potential seal failure, release of hydrocarbons and ignition, potential personnel impact"
Seal failure alarm SFA-11988/21480 will shutdown pump PM- 105B/205B,SFA-11988,Tier 1: Explicit Interlock/AF Tag,Node 24,High,N/A,4.0,"6"" manual valve on EX-92182 shell side outlet inadvertently closed | 6"" manual valve on discharge from Heavy Naphtha Stripper Product Pump PM-11689B inadvertently closed | 6"" manual valve on suction to Heavy Naphtha Stripper Product Pump PM-11689B inadvertently closed | FCV-38704 fails open or bypass valve inadvertently open | FCV-38704 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed","Blocked suction to PM-11689B; Potential pump cavitation; Potential seal failure with loss of containment, potential ignition and personnel impact | Blocked discharge from PM-11689B; Potential pump deadhead; Potential seal failure with loss of containment, potential ignition and personnel impact | Potential to lose level in Stripper T-73992; Potential pump PM-17647B cavitation; Potential seal failure with loss of containment, potential ignition and personnel impact"
Seal failure alarm SFA-11988/21480 will shutdown pump PM- 105B/205B,SFA-11988,Tier 1: Explicit Interlock/AF Tag,Node 39,High,N/A,4.0,"8"" valve closed on heavy naphtha rundown header from one or both splitter towers","Blocked discharge from Heavy Naphtha Stripper Product Pumps PM-17647B/205B; Potential pump deadhead; Potential seal failure with loss of containment, potential ignition and personnel impact"
Seal failure alarm SFA-11988/21480 will shutdown pump PM- 105B/205B,SFA-11988,Tier 1: Explicit Interlock/AF Tag,Node 6,High,N/A,4.0,"FCV-13718 fails open or bypass valve inadvertently open | 6"" manual valve on suction to Heavy Naphtha Stripper Product Pump PM-17647B inadvertently closed | 6"" manual valve on discharge from Heavy Naphtha Stripper Product Pump PM-17647B inadvertently closed | FCV-13718 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | 6"" manual valve on EX-56446 shell side outlet inadvertently closed","Blocked suction to PM-17647B; Potential pump cavitation; Potential seal failure with loss of containment, potential ignition and personnel impact | Potential to lose level in Stripper T-73992; Potential pump PM- 105B cavitation; Potential seal failure with loss of containment, potential ignition and personnel impact | Blocked discharge from PM-17647B; Potential pump deadhead; Potential seal failure with loss of containment, potential ignition and personnel impact"
Seal failure alarm SFA-23945/10440 will shutdown pumps PM- 101A/B,SFA-23945,Tier 1: Explicit Interlock/AF Tag,Node 3,High,N/A,4.0,LCV-92846 on Y-Grade product line fails open or bypass inadvertently opened | Manual valve on suction line to Naphtha Stabilizer Overhead Pump PM-81314A/B inadvertently closed | Manual valve on discharge line from Naphtha Stabilizer Overhead Pump PM-81314A/B inadvertently closed,"Blocked discharge from pumps with potential to deadhead pumps; Pump max discharge pressure is 90033 psig and downstream piping is rated for up to 10877 psig, therefore no overpressure concern; Potential seal damage with potential loss of containment, potential ignition with personnel impact | Loss of suction to Naphtha Stabilizer Overhead Pump PM- 101A/B; Potential to cavitate pumpswith potential seal damage with potential loss of containment, potential ignition with personnel impact | Loss of level in Naphtha Stabilizer Accumulator pressure vessel PV-81314, potential to run Naphtha Stabilizer Overhead Pump PM-81314A/B dry, pump cavitation and damage, potential release with personnel impact"
Seal failure alarm SFA-32195A/B/C will shutdown pumps PM- 416A/B/C,SFA-32195A,Tier 1: Explicit Interlock/AF Tag,Node 11,High,N/A,4.0,FV-39675A/B/C malfunctions closed during truck loading | SDV-54766/40117 fails closed or downstream manual valve inadvertently closed | Manual valve closed in discharge of Multi- Stage Vertical Turbine Pumps PM-12480A/B/C or FV-39675A/B/C malfunctions closed when not loading or upstream/downstream manual valve(s) inadvertently closed | Manual valve closed in suction of Multi- Stage Vertical Turbine Pumps PM-12480A/B/C | More than one Multi-Stage Vertical Turbine Pumps PM-12480A/B/C at once,"Block suction to Multi-Stage Vertical Turbine Pumps PM- 416A/B/C, cavitation, seal leak, potential ignition, personnel impact | Block discharge from Multi-Stage Vertical Turbine Pumps PM-12480A/B/C, deadhead, seal leak, potential ignition, personnel impact | More than one Multi-Stage Vertical Turbine Pumps PM- 416A/B/C operating, overfill of truck, deadheading PM-12480A/B/C pumps; seal leak, potential ignition, personnel impact"
Seal failure alarm SFA-35927/25045 will shutdown pumps PM- 207A/B,SFA-35927,Tier 1: Explicit Interlock/AF Tag,Node 26,High,N/A,4.0,"6"" manual valve on EX-80996 shell side outlet inadvertently closed | 6"" manual valve(s) upstream/downstream AF-48495 Diesel Product Cooler inadvertently closed | Both PM-11354A/B Diesel Stripper Product Pumps running at once | Level control valve LCV-44082 fails closed or T-92182 tower tray plugs | FCV-73508 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | FCV-73508 fails open or bypass inadvertently open | Manual valve closed on suction to Diesel Stripper Product Pumps PM-11354A/B or basket strainers plugged on suction piping | Manual valve closed on discharge from Diesel Stripper Product Pumps PM-11354A/B","Potential to deadhead pumps PM-11354A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact | Potential to drop diesel into the bottom of the Combi Tower T-92182, potential to send out diesel with the AGO; Potential loss of level in Diesel Stripper T-11689; Potential to cavitate pumps PM- 207A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact | Potential loss of level in Diesel Stripper T-11689; Potential to cavitate pumps PM-11354A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact | Potential to cavitate pumps PM-11354A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact"
Seal failure alarm SFA-35927/25045 will shutdown pumps PM- 207A/B,SFA-35927,Tier 1: Explicit Interlock/AF Tag,Node 41,High,N/A,4.0,"8"" valve closed on diesel rundown header from one or both splitter towers","Potential to deadhead Diesel Stripper Product Pumps PM- 107A/B or PM-11354A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact"
Seal failure alarm SFA-37823/15045 will shutdown pumps PM- 107A/B,SFA-37823,Tier 1: Explicit Interlock/AF Tag,Node 41,High,N/A,4.0,"8"" valve closed on diesel rundown header from one or both splitter towers","Potential to deadhead Diesel Stripper Product Pumps PM- 107A/B or PM-11354A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact"
Seal failure alarm SFA-37823/15045 will shutdown pumps PM- 107A/B,SFA-37823,Tier 1: Explicit Interlock/AF Tag,Node 8,High,N/A,4.0,"Manual valve closed on suction to Diesel Stripper Product Pumps PM-60820A/B or basket strainers plugged on suction piping | FCV-96168 fails open or bypass inadvertently open | Level control valve LCV-15841 fails closed or T-56446 tower tray plugs | 6"" manual valve on EX-59524 shell side outlet inadvertently closed | Both PM-60820A/B Diesel Stripper Product Pumps running at once | FCV-96168 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | 6"" manual valve(s) upstream/downstream AF-76255 Diesel Product Cooler inadvertently closed | Manual valve closed on discharge from Diesel Stripper Product Pumps PM-60820A/B","Potential to drop diesel into the bottom of the Combi Tower T-56446, potential to send out diesel with the AGO; Potential loss of level in Diesel Stripper T-17647; Potential to cavitate pumps PM- 107A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact | Potential loss of level in Diesel Stripper T-17647; Potential to cavitate pumps PM-60820A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact | Potential to deadhead pumps PM-60820A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact | Potential to cavitate pumps PM-60820A/B; Potential seal failure; Potential loss of containment, ignition and personnel impact"
Seal failure alarm SFA-62231/20440 will shutdown pumps PM- 201A/B,SFA-62231,Tier 1: Explicit Interlock/AF Tag,Node 21,High,N/A,4.0,Manual valve on discharge line from Naphtha Stabilizer Overhead Pump PM-33219A/B inadvertently closed | LCV-26713 on Y-Grade product line fails open or bypass inadvertently opened | Manual valve on suction line to Naphtha Stabilizer Overhead Pump PM-33219A/B inadvertently closed,"Blocked discharge from pumps with potential to deadhead pumps; Pump max discharge pressure is 90033 psig and downstream piping is rated for up to 10877 psig, therefore no overpressure concern; Potential seal damage with potential loss of containment, potential ignition with personnel impact | Loss of suction to Naphtha Stabilizer Overhead Pump PM- 201A/B; Potential to cavitate pumpswith potential seal damage with potential loss of containment, potential ignition with personnel impact | Loss of level in Naphtha Stabilizer Accumulator pressure vessel PV-33219, potential to run Naphtha Stabilizer Overhead Pump PM-33219A/B dry, pump cavitation and damage, potential release with personnel impact"
Shutdown Procedure (GPS-74215) includes a step for diesel flush,GPS-74215,Tier 1: Explicit Interlock/AF Tag,Node 41,High,N/A,2.0,"8"" or 38112"" valve open on diesel flush to feed pumps","Potential to send diesel to splitters, potential excess rerun and economic loss, potential major unit upset; Potential financial impact"
Standby pump available - Kero Stripper Product Pump PM-48495A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 25,High,N/A,4.0,Kero Stripper Product Pump PM-48495A/B trips or loss of power,"High level in Kero Stripper T-80996; Potential Combi Tower T-92182 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Kero Stripper T-80996; Potential Combi Tower T-92182 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact"
Standby pump available - Kero Stripper Product Pump PM-76255A/B,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 7,High,N/A,4.0,Kero Stripper Product Pump PM-76255A/B trips or loss of power,"High level in Kero Stripper T-59524; Potential Combi Tower T-56446 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | High level in Kero Stripper T-59524; Potential Combi Tower T-56446 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact"
TAHH-40738 high high temperature alarm will trip Hot Oil Heater F-33219,TAHH-40738,Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,4.0,What if burner tube ruptures? | What if solids build up on tube internal surfaces? | What if fuel supply regulator fails open? | What if hot oil flow through the tubes stops? | What if fuel supply pressure increases? | What if burner tube skin temperature increases? (Caused by flow restriction in tube) | What if blower or motor fails?,"Increased heating of hot oil; potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Potential for over temperature of Hot Oil Heater F- 201/ducts, heater damage | Flow restriction in tubes; Potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact"
TAHH-56116 high high temperature alarm will trip Hot Oil Heater F-81314,TAHH-56116,Tier 1: Explicit Interlock/AF Tag,Node 10,High,N/A,4.0,What if burner tube ruptures? | What if solids build up on tube internal surfaces? | What if fuel supply regulator fails open? | What if hot oil flow through the tubes stops? | What if fuel supply pressure increases? | What if burner tube skin temperature increases? (Caused by flow restriction in tube) | What if blower or motor fails?,"Potential for over temperature of Hot Oil Heater F- 101/ducts, heater damage | Flow restriction in tubes; Potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Increased heating of hot oil; potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact"
TT-46689/5004 supply water temperature will shutdown chiller compressor units on low heat load on the glycol system,TT-46689,Tier 1: Explicit Interlock/AF Tag,Node 38,High,N/A,1.0,"Manual valve closed downstream of rundown chiller EX-28669 to tank TK-24946-24/25 | Manual valve closed on suction of Naphtha Recirculation Pump P-6 or strainer plugs | Recirculation Pump P-6 stops | 10"" valve closed on discharge of Recirculation Pump P6 or MOV-63896/9449 closed on inlet to TK-24946-24 or MOV-94291/9441 closed on inlet to TK-24946-25 | MOV-59888/ 9429/ 9410/ 9412 closed on outlet of tank TK-24946-24/25 to Recirculation Pump P-6 when tank is in recirculation","Loss of Light Naphtha flow to storage from chiller, loss of heat load on glycol circuit, low delta temperature on chiller units, potential chiller compressor damage, release of glycol/ refrigerant and minor environmental impact, potential equipment damage"
Tandem seal - level switch on seal pot trips condensate feed pump PM-53688A/B/C,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 1,High,N/A,4.0,"Flow control valve FCV-73778 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | 8"" manual valve downstream of Condensate Feed Pumps PM-53688A/B/C inadvertently closed",Blocked discharge from Condensate Feed Pumps PM- 111A/B/C; Pump deadhead; Potential seal failure and release of hydrocarbons; Potential ignition and personnel impact
Tandem seal - level switch on seal pot trips condensate feed pump PM-53688A/B/C,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 19,High,N/A,4.0,"8"" manual valve downstream of Condensate Feed Pumps PM-53688A/B/C inadvertently closed | Flow control valve FCV-89309 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed",Blocked discharge from Condensate Feed Pumps PM- 111A/B/C; Pump deadhead; Potential seal failure and release of hydrocarbons; Potential ignition and personnel impact
Tandem seal - level switch on seal pot trips condensate feed pump PM-53688A/B/C,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 43,High,N/A,4.0,Mixer failure | Closed valves: manual valve closed inadvertently on suction side on condensate feed pump PM-53688A/B/C | MOV-10065/22/23 closed on outlet of tank TK-97415/1/2/3 to Feed Pump PM-53688A/B/C when tank is feeding to Splitter Units | Closed valves: Manual valve closed inadvertently on discharge side of condensate feed pump PM-53688A/B/C including exchanger valves | All pumps PM-53688A/B/C online,"Potential mechanical damage to condensate feed pump PM-53688A/B/C (cavitation); Potential seal failure and release of hydrocarbons; Potential ignition and personnel impact | Potential mechanical damage to condensate feed pump PM-53688A/B/C (deadhead); Potential seal failure and release of hydrocarbons; Potential ignition and personnel impact | Decreased flow of Feed from Feed Tanks TK-97415-1/2/3 to Feed Pumps PM-53688A/B/C, loss of flow to Feed PM-53688A/B/C, potential cavitation; Potential seal failure and release of hydrocarbons; Potential ignition and personnel impact | Increased flow of Feed out of Feed Tanks TK-97415-1/2/3, decreased level in Feed Tanks TK-97415-1/2/3, loss of flow to Feed Pumps PM-53688A/B/C; Potential cavitation, seal failure and release of hydrocarbons; Potential ignition and personnel impact | Potential reduced tank mixing, potential build-up of solids in Feed Pump PM-53688A/B/C strainers; Potential mechanical damage to condensate feed pump PM-53688A/B/C (cavitation); Potential seal failure and release of hydrocarbons; Potential ignition and personnel impact"
Tank is a continuously monitored operation,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 13,Medium,0.373,,Overfilling Ammonia Storage Tank PV- 106,Potential overpressure of Ammonia Storage Tank PV-76255 with release of aqueous ammonia to surrounding area and potential personnel impact
Thermal Pressure Safety Valves across Feed piping circuit,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 43,Medium,0.391,4.0,Blocked in Feed and thermal expansion,"Potential to overpressure piping by thermal expansion, release of Feed, personnel injury, environmental impact"
Timer failure results in burner management system (BMS) trip of the Hot Oil Furnace F-81314/201,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 10,High,N/A,4.0,What if the purge is inadequate? (BMS Sequence Failure),Potential for burner explosion on restart if un reacted fuel is present
Timer failure results in burner management system (BMS) trip of the Hot Oil Furnace F-81314/201,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,4.0,What if the purge is inadequate? (BMS Sequence Failure),Potential for burner explosion on restart if un reacted fuel is present
"Transfer Pump P- 1A/B permissive, pump will not run if valves MOV-98319/6/7/8/9 are closed",MOV-98319,Tier 1: Explicit Interlock/AF Tag,Node 40,High,N/A,4.0,MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline,"No flow of kero from kero tanks TK-61869-11/20 and 85935- 10 to Transfer Pump P-1A/B, loss of flow to kero P-1A/B, potential cavitation and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; high differential pressure; Potential to get kero liquids in the vapor return line; Potential damage to vapor return piping; Potential release with ignition and personnel impact | Potential Kero tank overfill (TK-61869-20/11, TK-85935-10); High level in Kero Stripper T-59524/204; Potential Combi Tower T- 102/202 flooding; leading to products Diesel and AGO going off- spec, operability/product quality issues; Potential financial impact"
"Transfer Pump P- 1A/B permissive, pump will not run if valves MOV-98319/6/7/8/9 are closed",MOV-98319,Tier 1: Explicit Interlock/AF Tag,Node 41,High,N/A,4.0,MOV-77397/ 09 closed on outlet of tank TK- 100-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline,"Decreased flow of diesel from Diesel Tanks TK-61869-12/21 to Transfer Pump P-1A/B, loss of flow to P-1A/B, potential cavitation and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact"
Water pumps PM- 18A/B automatically shut off at a pre-set level in Tank TK-5,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 45,Medium,0.377,3.0,Pump P-98747 online while pump PM-95795A/B online | Level Control Valve LCV-19952 fails open or manual bypass valve open,"Increased flow of water from Pump P-98747/ PM-95795A/B, decreased water level in Tank TK-5, potential to draw down level in tank and send hydrocarbon to gulf coast water authority; Potential to impact biologics at water treatment; Potential financial impact | Increased flow of water from Pump PM-95795A/B, decreased water level in Tank TK-5, potential to draw down level in tank and send hydrocarbon to gulf coast water authority; Potential to impact biologics at water treatment; Potential financial impact"
